weight,density,highest degree,runtime,stretch,jumpstretch
3369739,0.3529761904761905,143,332094,Infinity,6.0
3259369,0.348968253968254,136,330277,Infinity,6.0
3336966,0.351984126984127,147,328330,1078.0,6.0
3239925,0.3501984126984127,143,330285,1279.0,6.0
3391335,0.35833333333333334,145,334017,Infinity,5.0
3300765,0.3549603174603175,152,337673,Infinity,6.0
3317594,0.353968253968254,140,330671,737.3333333333334,7.0
3327063,0.353968253968254,147,331959,Infinity,7.0
3217803,0.35079365079365077,145,334069,864.5,6.0
3232601,0.3506746031746032,139,334973,Infinity,6.0
