weight,density,highest degree,runtime,stretch
2414,0.045714285714285714,9,138,23.54
3964,0.045714285714285714,6,123,Infinity
4285,0.045714285714285714,6,125,27.055555555555557
2867,0.044081632653061226,6,128,Infinity
3183,0.04653061224489796,4,193,23.818181818181817
3155,0.045714285714285714,7,125,11.23076923076923
4286,0.044897959183673466,5,204,42.46938775510204
3204,0.04653061224489796,5,124,14.903846153846153
2123,0.04653061224489796,6,130,9.042553191489361
1511,0.04163265306122449,5,122,4.909090909090909
