weight,density,highest degree,runtime,stretch,jumpstretch
494237,0.26,88,2899,232.0,7.0
479068,0.26025806451612904,89,2659,159.4,7.0
505388,0.26438709677419353,74,2221,580.0,7.0
484543,0.2658064516129032,82,2767,216.66666666666666,8.0
455993,0.2521290322580645,89,2932,Infinity,7.0
467346,0.25509677419354837,90,3354,306.3333333333333,7.0
463723,0.2585806451612903,88,2905,88.6923076923077,6.0
494953,0.26529032258064517,84,2639,304.0,7.0
469950,0.25393548387096776,81,2997,360.0,8.0
547044,0.2712258064516129,89,2629,133.0,6.0
