weight,density,highest degree,runtime,stretch
129711,0.24576576576576575,47,656,28.416666666666668
113636,0.23567567567567568,57,618,325.0
134606,0.2418018018018018,52,684,248.8
124323,0.23351351351351352,49,554,170.16666666666666
123873,0.23567567567567568,54,578,314.0
143788,0.2609009009009009,60,641,99.2
127926,0.2410810810810811,47,618,44.95454545454545
113758,0.2273873873873874,49,565,76.85714285714286
137081,0.23927927927927928,57,622,194.0
112007,0.22450450450450452,56,532,52.142857142857146
