weight,density,highest degree,runtime,stretch,jumpstretch
510247,0.10246231155778894,43,51832,Infinity,13.0
480034,0.09959798994974875,51,53114,1757.0,15.0
533242,0.10261306532663317,47,47774,Infinity,15.0
554949,0.10678391959798995,45,55838,2171.0,14.0
554272,0.10462311557788945,43,50807,915.0,14.0
549215,0.10391959798994975,43,53435,Infinity,15.0
522009,0.10065326633165829,42,49483,5348.0,13.0
556700,0.10396984924623115,46,54024,2397.0,15.0
580820,0.10532663316582914,45,51513,1055.4,14.0
507015,0.10326633165829145,45,53067,Infinity,15.0
