weight,density,highest degree,runtime,stretch,jumpstretch
656959,0.20912972085385878,99,6257,202.5,9.0
635656,0.20538587848932677,102,6334,Infinity,9.0
671078,0.2097208538587849,112,6172,946.0,9.0
629681,0.21083743842364533,107,6042,294.4,9.0
649593,0.21274220032840724,108,6520,324.0,9.0
598310,0.20275862068965517,93,6248,593.5,9.0
684243,0.21530377668308703,121,5998,125.72727272727273,8.0
687749,0.21241379310344827,106,6230,Infinity,10.0
667548,0.21188834154351396,83,6500,149.2,9.0
648713,0.20814449917898195,103,6550,115.25,9.0
